Code,Oblast,Opstina,Oblast,Opstina_Cir,MunicipaltiesOSM,Region
71048,Pomoravska oblast,Jagodina-grad,Поморавски управни округ,Јагодина – град,Jagodina City,Sumadija and Western Serbia
71056,Pomoravska oblast,Svilajnac,Поморавски управни округ,Свилајнац,Svilajnac Municipality,Sumadija and Western Serbia
71200,Pomoravska oblast,Ćuprija,Поморавски управни округ,Ћуприја,Cuprija Municipality,Sumadija and Western Serbia
70335,Pčinjska oblast,Bosilegrad,Пчињски управни округ,Босилеград,Bosilegrad Municipality,Southern and Eastern Serbia
70351,Pčinjska oblast,Bujanovac,Пчињски управни округ,Бујановац,Bujanovac Municipality,Southern and Eastern Serbia
70416,Pčinjska oblast,Vladičin Han,Пчињски управни округ,Владичин Хан,Vladicin Han Municipality,Southern and Eastern Serbia
70432,Pčinjska oblast,Vranje,Пчињски управни округ,Врање,Vranje City,Southern and Eastern Serbia
70963,Pčinjska oblast,Preševo,Пчињски управни округ,Прешево,Presevo Municipality,Southern and Eastern Serbia
71137,Pčinjska oblast,Surdulica,Пчињски управни округ,Сурдулица,Surdulica Municipality,Southern and Eastern Serbia
71161,Pčinjska oblast,Trgovište,Пчињски управни округ,Трговиште,Trgoviste Municipality,Southern and Eastern Serbia
71358,Pčinjska oblast,Vranjska Banja,Пчињски управни округ,Врањска Бања,Vranjska Banja Municipality,Southern and Eastern Serbia
70017,Rasinska oblast,Aleksandrovac,Расински управни округ,Александровац,Aleksandrovac Municipality,Sumadija and Western Serbia
70343,Rasinska oblast,Brus,Расински управни округ,Брус,Brus Municipality,Sumadija and Western Serbia
70378,Rasinska oblast,Varvarin,Расински управни округ,Варварин,Varvarin Municipality,Sumadija and Western Serbia
70670,Rasinska oblast,Kruševac-grad,Расински управни округ,Крушевац – град,Krusevac City,Sumadija and Western Serbia
71170,Rasinska oblast,Trstenik,Расински управни округ,Трстеник,Trstenik Municipality,Sumadija and Western Serbia
71196,Rasinska oblast,Ćićevac,Расински управни округ,Ћићевац,Cicevac Municipality,Sumadija and Western Serbia
